pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CU,2019/9/24,76.9,-3.1772,5.5592,Max Scherzer,595284,453286,null,called_strike,,,,,13,null,R,L,R,WSH,PHI,S,null,null,0,0,2019,1.0033,-0.4835,-0.8908,1.5212,null,null,null,0,5,Top,null,null,,,543228,,190925_003546,3.0394,-111.8881,-0.7494,7.7689,19.1618,-36.2723,3.2294,1.5624,null,null,null,76.334,2741,5.772,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.7271,null,null,null,null,null,null,null,36,1,Curveball,2,4,4,2,4,2,4,2,Infield shift,Standard
FF,2019/9/24,95.4,-3.215,5.2204,Max Scherzer,596748,453286,field_out,hit_into_play,,,,,12,Maikel Franco flies out to left fielder Juan Soto.  ,R,R,R,WSH,PHI,X,7,fly_ball,1,2,2019,-0.7957,1.2941,0.3035,3.8854,null,null,null,2,4,Top,59.13,109.24,,,543228,,190925_002056,11.0288,-138.569,-0.7964,-12.603,29.0281,-15.4699,3.2293,1.4763,265,90.8,50.6,95.558,2490,6.341,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.1589,0.01,0.009,0,1,0,0,3,29,4,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard
SL,2019/9/24,83.8,-3.5527,5.087,Max Scherzer,596748,453286,null,called_strike,,,,,4,null,R,R,R,WSH,PHI,S,null,null,1,1,2019,0.4311,0.0529,-0.7499,2.2205,null,null,null,2,4,Top,null,null,,,543228,,190925_002023,5.5991,-121.9945,-0.3566,3.2166,22.6184,-31.8096,3.2006,1.419,null,null,null,83.441,2408,5.899,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.6008,null,null,null,null,null,null,null,29,3,Slider,1,4,4,1,4,1,4,1,Standard,Standard
CU,2019/9/24,79,-3.2147,5.3685,Max Scherzer,596748,453286,null,ball,,,,,14,null,R,R,R,WSH,PHI,B,null,null,0,1,2019,1.0013,-0.5993,0.7555,1.2644,null,null,null,2,4,Top,null,null,,,543228,,190925_002006,6.7571,-114.8804,-1.0449,7.508,20.7855,-37.4448,3.2006,1.4763,null,null,null,78.415,2728,5.862,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.6378,null,null,null,null,null,null,null,29,2,Curveball,1,4,4,1,4,1,4,1,Standard,Standard
FF,2019/9/24,94.3,-3.3371,5.4423,Max Scherzer,596748,453286,null,foul,,,,,6,null,R,R,R,WSH,PHI,S,null,null,0,0,2019,-0.9028,1.3173,0.6572,2.3855,null,null,null,2,4,Top,null,null,,,543228,,190925_001946,12.2201,-136.7344,-5.0462,-13.799,29.4474,-15.0255,3.2581,1.5336,null,null,null,93.401,2424,5.903,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.5962,null,null,null,null,null,null,null,29,1,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard
FF,2019/9/24,94.6,-3.2828,5.4564,Max Scherzer,656514,453286,field_out,hit_into_play,,,,,12,Adam Haseley pops out to third baseman Anthony Rendon.  ,R,L,R,WSH,PHI,X,5,popup,0,1,2019,-0.9569,1.2657,1.0351,3.263,null,null,null,1,4,Top,91.24,160.72,,,543228,,190925_001918,13.1487,-137.0046,-2.736,-14.6094,28.7528,-16.1586,3.3731,1.7057,128,52.9,52.9,93.452,2497,5.764,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.7356,0.029,0.016,0,1,0,0,1,28,2,4-Seam Fastball,1,4,4,1,4,1,4,1,Infield shift,Standard
CU,2019/9/24,79.4,-3.2893,5.3963,Max Scherzer,656514,453286,null,called_strike,,,,,13,null,R,L,R,WSH,PHI,S,null,null,0,0,2019,0.9886,-0.5429,-0.845,2.127,null,null,null,1,4,Top,null,null,,,543228,,190925_001857,3.5086,-115.543,0.5338,8.1431,19.6274,-37.2859,3.4019,1.7343,null,null,null,78.969,2674,5.789,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.7106,null,null,null,null,null,null,null,28,1,Curveball,1,4,4,1,4,1,4,1,Infield shift,Standard
FF,2019/9/24,95.4,-3.3197,5.2938,Max Scherzer,664068,453286,strikeout,swinging_strike,,,,,5,Scott Kingery strikes out swinging.  ,R,R,R,WSH,PHI,S,2,null,3,2,2019,-0.8446,1.2592,-0.2683,2.4531,null,null,null,0,4,Top,null,null,,,543228,,190925_001824,9.8073,-138.5774,-4.6,-12.83,29.0678,-15.3696,3.517,1.6483,null,null,null,94.859,2523,5.935,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.5647,null,null,0,1,0,0,null,27,7,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard
SL,2019/9/24,85.5,-3.4765,5.0738,Max Scherzer,664068,453286,null,foul,,,,,4,null,R,R,R,WSH,PHI,S,null,null,3,2,2019,0.2336,0.0065,-0.4513,2.2777,null,null,null,0,4,Top,null,null,,,543228,,190925_001759,6.64,-124.4394,-0.3899,1.2401,22.1821,-32.2399,3.4594,1.6483,104,72.4,10.8,85.587,2454,6.086,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.4136,null,null,null,null,null,null,null,27,6,Slider,1,4,4,1,4,1,4,1,Standard,Standard
SL,2019/9/24,84.7,-3.4784,5.1201,Max Scherzer,664068,453286,null,ball,,,,,11,null,R,R,R,WSH,PHI,B,null,null,2,2,2019,0.5396,-0.1108,-0.6964,3.6178,null,null,null,0,4,Top,null,null,,,543228,,190925_001736,5.4024,-123.2738,2.986,4.4554,22.799,-34.0647,3.4019,1.591,null,null,null,84.453,null,5.962,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.5378,null,null,null,null,null,null,null,27,5,Slider,1,4,4,1,4,1,4,1,Standard,Standard
